"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.166666666666667,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175227694780083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433407053588716
"3",0.166666666666667,0,0.434919715755287,0,0,0,0,0.0679001057519599,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330646249847536,0,0,0,0,0,0,0,0,0
"4",0.166666666666667,0,0,0.384324629715165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450485634044182,0,0,0,0,0,0,0
"5",0.166666666666667,0.32877183571292,0,0,0.123527444570226,0,0,0,0,0,0,0,0,0,0,0.168211575959064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213091643020335,0
"6",0.166666666666667,0,0,0,0,0.322311741601149,0,0,0,0,0,0,0,0.0428961679915009,0,0,0,0,0,0,0,0,0,0.205719975314807,0,0,0.260896993447943,0,0,0,0
"7",0.166666666666667,0,0,0,0.158819120130355,0,0.339819026949123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244712690905526,0,0,0,0.0924109491648908,0
"8",0.166666666666667,0.0962650612849641,0,0.093922834858595,0.344757263863206,0,0,0.299121415797559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.166666666666667,0,0,0.221262663216809,0,0.294226776140432,0,0,0.304595722044968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.166666666666667,0.178924795484468,0,0,0,0,0,0,0,0.196574644078636,0,0,0,0,0,0,0.14616670493506,0.197557277993486,0,0.115989649449333,0,0,0,0,0,0,0,0,0,0,0
"11",0.166666666666667,0,0,0,0,0,0,0,0,0,0.273584777493326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240079986055776,0,0.31585550655786,0,0
"12",0.166666666666667,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
